Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Gene name
ENSG00000155530	ENSG00000155530.4	ENST00000285928	ENST00000285928.3	LRGUK
ENSG00000155966	ENSG00000155966.14	ENST00000286437	ENST00000286437.7	AFF2
ENSG00000163904	ENSG00000163904.13	ENST00000296257	ENST00000296257.10	SENP2
ENSG00000198874	ENSG00000198874.14	ENST00000359626	ENST00000359626.10	TYW1
ENSG00000117594	ENSG00000117594.10	ENST00000367028	ENST00000367028.6	HSD11B1
ENSG00000118515	ENSG00000118515.12	ENST00000367858	ENST00000367858.10	SGK1
ENSG00000204065	ENSG00000204065.3	ENST00000372680	ENST00000372680.2	TCEAL5
ENSG00000106771	ENSG00000106771.13	ENST00000374586	ENST00000374586.8	TMEM245
ENSG00000068985	ENSG00000068985.5	ENST00000376150	ENST00000376150.4	PAGE1
ENSG00000130226	ENSG00000130226.18	ENST00000377770	ENST00000377770.8	DPP6
ENSG00000155093	ENSG00000155093.19	ENST00000389416	ENST00000389416.8	PTPRN2
ENSG00000216056	ENSG00000216056.1	ENST00000401237	ENST00000401237.1	MIR891A
ENSG00000069020	ENSG00000069020.19	ENST00000403625	ENST00000403625.7	MAST4
ENSG00000152127	ENSG00000152127.9	ENST00000409645	ENST00000409645.5	MGAT5
ENSG00000223256	ENSG00000223256.1	ENST00000411324	ENST00000411324.1	RNU6-785P
ENSG00000238043	ENSG00000238043.1	ENST00000426616	ENST00000426616.1	
ENSG00000163536	ENSG00000163536.13	ENST00000446050	ENST00000446050.7	SERPINI1
ENSG00000203963	ENSG00000203963.12	ENST00000448166	ENST00000448166.6	C1orf141
ENSG00000235885	ENSG00000235885.8	ENST00000452716	ENST00000452716.5	LINC01828
ENSG00000163785	ENSG00000163785.13	ENST00000460933	ENST00000460933.5	RYK
ENSG00000273345	ENSG00000273345.6	ENST00000518409	ENST00000518409.2	
ENSG00000145934	ENSG00000145934.17	ENST00000519204	ENST00000519204.5	TENM2
ENSG00000255559	ENSG00000255559.1	ENST00000527067	ENST00000527067.1	ZNF252P-AS1
ENSG00000113578	ENSG00000113578.18	ENST00000621536	ENST00000621536.4	FGF1
ENSG00000251199	ENSG00000251199.6	ENST00000658435	ENST00000658435.1	
ENSG00000075711	ENSG00000075711.21	ENST00000658701	ENST00000658701.1	DLG1
ENSG00000147257	ENSG00000147257.16	ENST00000667662	ENST00000667662.1	GPC3
ENSG00000104218	ENSG00000104218.16	ENST00000676113	ENST00000676113.1	CSPP1
ENSG00000104218	ENSG00000104218.16	ENST00000678747	ENST00000678747.1	CSPP1
ENSG00000196305	ENSG00000196305.19	ENST00000683817	ENST00000683817.1	IARS1
ENSG00000203963	ENSG00000203963.12	ENST00000684719	ENST00000684719.1	C1orf141
ENSG00000086758	ENSG00000086758.17	ENST00000704099	ENST00000704099.1	HUWE1
ENSG00000078018	ENSG00000078018.22	ENST00000704357	ENST00000704357.1	MAP2
